06-02 14:33:06.310   14924-15012   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  I     NotifyAfterLifecyclePaused: in
06-02 14:33:06.310   14924-14924   C03900/com.flo...k.harmony/Ace  com.flowdesk.harmony  I     [(100000:100000:scope)] Update application state , state: ON_INACTIVE
06-02 14:33:06.321   14924-14982   C01332/com.flo...ony/UIAbility  com.flowdesk.harmony  I     [ui_ability_thread.cpp321]name:EntryAbility,targeState:6,isNewWant:0
06-02 14:33:06.321   14924-14924   C01332/com.flo...ony/UIAbility  com.flowdesk.harmony  I     [ui_ability_thread.cpp240]Lifecycle:name EntryAbility
06-02 14:33:06.321   14924-14924   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  I     GoPause: in
06-02 14:33:06.321   14924-14924   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  I     Pause: in, isColdStart: 0
06-02 14:33:06.321   14924-14924   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  I     NotifyAfterLifecyclePaused: in
06-02 14:33:06.321   14924-14924   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  I     NotifyAfterLifecyclePaused: window has been in noninteractive status
06-02 14:33:06.321   14924-14924   C01332/com.flo...ony/UIAbility  com.flowdesk.harmony  I     [JUA2015]JsUIAbility call js, name: onWillBackground
06-02 14:33:06.321   14924-14924   C01332/com.flo...ony/UIAbility  com.flowdesk.harmony  I     [JUA2060]end, name: onWillBackground, time: 0
06-02 14:33:06.321   14924-14924   C01332/com.flo...ony/UIAbility  com.flowdesk.harmony  I     [JUA2015]JsUIAbility call js, name: onBackground
06-02 14:33:06.321   14924-14924   A00001/com.flo...mony/FlowDesk  com.flowdesk.harmony  I     EntryAbility onBackground
06-02 14:33:06.322   14924-14924   C01332/com.flo...ony/UIAbility  com.flowdesk.harmony  I     [JUA2060]end, name: onBackground, time: 0
06-02 14:33:06.322   14924-14924   C04202/com.flo...rmony/WMSMain  com.flowdesk.harmony  I     GoBackground: reason: 4
06-02 14:33:06.322   14924-14924   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  I     Hide: Window hide [id:1036, type: 1, reason:4, state:2, requestState:2
06-02 14:33:06.322   14924-14924   C0420A/com.flo...rmony/WMSLife  com.flowdesk.harmony  W     GetAttachStateSyncResult: lifecycleCallback is null
